State,Ukupno popisane osobe ,Ukupno domacinstava ,Ukupno stanova 
BANOVIĆI ,23.431,7.665,10.532
BANJA LUKA ,199.191,65.225,87.986
BERKOVIĆI ,2.272,649,1.04
BIHAĆ ,61.186,18.251,25.61
BIJELJINA ,114.663,34.651,48.28
BILEĆA ,11.536,3.319,4.812
BOSANSKA KRUPA ,29.659,7.691,10.93
BOSANSKI PETROVAC ,7.946,2.863,4.835
BOSANSKO GRAHOVO ,3.091,1.114,1.914
BRATUNAC ,21.619,6.057,8.093
BRČKO ,93.028,27.341,37.683
BREZA ,14.564,5.035,6.727
BROD ,17.943,5.691,7.469
BUGOJNO ,34.559,9.546,12.653
BUSOVAČA ,18.488,5.657,7.865
BUŽIM ,20.298,4.397,4.922
CAZIN ,69.411,16.929,20.132
CENTAR SARAJEVO ,59.238,21.632,30.227
ČAJNIČE ,5.449,1.66,2.453
ČAPLJINA ,28.122,8.039,10.304
ČELIĆ ,12.083,3.299,4.789
ČELINAC ,16.874,5.084,7.444
ČITLUK ,18.552,4.673,6.595
DERVENTA ,30.177,9.644,14.624
DOBOJ ,77.223,25.808,36.132
DOBOJ‐ISTOK ,10.866,3.166,4.286
DOBOJ‐JUG ,4.409,1.317,1.665
DOBRETIĆI ,2.041,555,597
DOMALJEVAC‐ŠAMAC ,5.216,1.342,1.752
DONJI VAKUF ,14.739,4.221,5.582
DONJI ŽABAR ,4.043,1.203,1.532
DRVAR ,7.506,3.051,5.004
FOČA ‐ FBiH ,2.213,703,1.471
FOČA – RS ,19.811,6.521,10.255
FOJNICA ,13.047,3.945,6.185
GACKO ,9.734,2.77,3.964
GLAMOČ ,4.038,1.443,2.546
GORAŽDE ,22.08,7.564,11.177
GORNJI VAKUF‐USKOPLJE ,22.304,5.754,7.227
GRAČANICA ,48.395,15.137,20.16
GRAD MOSTAR ,113.169,34.044,46.662
GRADAČAC ,41.836,11.968,16.457
GRADIŠKA ,56.727,17.452,23.946
GRUDE ,17.865,4.524,5.482
HADŽIĆI ,24.979,7.569,11.674
HAN PIJESAK ,3.844,1.41,2.122
ILIDŽA ,71.892,22.26,35.427
ILIJAŠ ,20.504,6.368,10.638
ISTOČNA ILIDŽA ,15.233,4.987,6.82
ISTOČNI DRVAR ,109,35,72
ISTOČNI MOSTAR ,280,82,161
ISTOČNI STARI GRAD ,1.175,442,745
ISTOČNO NOVO SARAJEVO ,11.477,3.865,5.388
JABLANICA ,10.58,3.193,5.066
JAJCE ,30.758,8.388,11.561
JEZERO ,1.341,413,596
KAKANJ ,38.937,12.288,17.588
KALESIJA ,36.748,10.005,14.092
KALINOVIK ,2.24,770,1.672
KISELJAK ,21.919,6.789,9.688
KLADANJ ,13.041,3.877,5.752
KLJUČ ,18.714,5.055,7.243
KNEŽEVO ,10.428,3.173,4.723
KONJIC ,26.381,8.371,15.084
KOSTAJNICA ,6.308,1.941,2.399
KOTOR VAROŠ ,22.001,5.966,9.081
KOZARSKA DUBICA ,23.074,7.621,11.154
KREŠEVO ,5.638,1.881,2.632
KRUPA NA UNI ,1.687,549,992
KUPRES ‐ FBiH ,5.573,1.514,2.513
KUPRES ‐ RS ,320,134,213
LAKTAŠI ,36.848,11.443,17.027
LIVNO ,37.487,9.138,11.287
LOPARE ,16.568,5.153,7.792
LUKAVAC ,46.731,16.676,23.997
LJUBINJE ,3.756,1.095,1.791
LjUBUŠKI ,29.521,7.489,9.815
MAGLAJ ,24.98,7.802,10.086
MILIĆI ,12.272,3.677,4.933
MODRIČA ,27.799,8.638,12.16
MRKONJIĆ GRAD ,18.136,6.169,9.743
NEUM ,4.96,1.392,4.023
NEVESINJE ,13.758,4.065,5.871
NOVI GRAD ,28.799,8.852,11.913
NOVI GRAD SARAJEVO ,124.471,42.287,54.011
NOVI TRAVNIK ,25.107,7.295,8.87
NOVO GORAŽDE ,3.391,1.118,1.668
NOVO SARAJEVO ,68.802,25.542,34.02
ODŽAK ,21.289,5.987,7.933
OLOVO ,10.578,3.534,5.048
ORAŠJE ,21.584,6.234,7.933
OSMACI ,6.172,1.69,2.399
OŠTRA LUKA ,2.997,974,1.553
PALE ‐ FBiH ,1.043,328,795
PALE ‐ RS ,22.282,7.18,11.293
PELAGIĆEVO ,7.332,2.075,2.611
PETROVAC ,367,132,207
PETROVO ,7.01,2.561,3.582
POSUŠJE ,20.698,5.15,6.22
PRIJEDOR ,97.588,28.847,38.334
PRNJAVOR ,38.399,12.22,18.529
